timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605619660870,56,Get Cover Photos,200,OK,Stress Test 3-7,text,true,,20739,217,6,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,56,0,0
1605619660874,60,Get Book of specific ID,200,OK,Endruance Test 2-8,text,true,,741,213,5,11,https://webapp-api-appservice.azurewebsites.net/api/Books/3,60,0,0
1605619660887,54,Get Cover Photos,200,OK,Stress Test 3-10,text,true,,20739,217,6,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,53,0,0
1605619660892,52,Add CoverPhoto,200,OK,Stress Test 3-4,text,true,,321,317,6,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,52,0,0
1605619660881,65,Get Book of specific ID,200,OK,Stress Test 3-9,text,true,,741,213,6,11,https://webapp-api-appservice.azurewebsites.net/api/Books/4,65,0,0
1605619660895,53,Add CoverPhoto,200,OK,Endruance Test 2-10,text,true,,321,317,5,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,53,0,0
1605619660907,52,Get Cover Photos,200,OK,Endruance Test 2-1,text,true,,20739,217,5,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,52,0,0
1605619659879,1084,Get Books,200,OK,Endruance Test 2-4,text,true,,97535,211,5,11,https://webapp-api-appservice.azurewebsites.net/api/Books,236,0,171
1605619660924,55,Get Book of specific ID,200,OK,Stress Test 3-6,text,true,,741,213,6,11,https://webapp-api-appservice.azurewebsites.net/api/Books/1,55,0,0
1605619660927,54,Add CoverPhoto,200,OK,Stress Test 3-7,text,true,,321,317,6,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,54,0,0
1605619660941,53,Add CoverPhoto,200,OK,Stress Test 3-10,text,true,,321,317,6,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,53,0,0
1605619660935,60,Get Cover Photos By ID,200,OK,Endruance Test 2-8,text,true,,356,219,5,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/4,60,0,0
1605619660945,55,Get Book of specific ID,200,OK,Stress Test 3-4,text,true,,741,213,6,11,https://webapp-api-appservice.azurewebsites.net/api/Books/4,55,0,0
